review_text,sentiment,review_char_count,word_count,lowercase_review,label_encoded,processed_text
Everything was smooth from start to finish,positive,42,7,everything was smooth from start to finish,1.0,everything smooth start finish
I would not recommend this to anyone,negative,36,7,i would not recommend this to anyone,-1.0,would recommend anyone
"Works well, heats fast, good steam output. ",positive,43,7,"works well, heats fast, good steam output. ",1.0,works well heats fast good steam output
I am impressed with the build quality,positive,37,7,i am impressed with the build quality,1.0,impressed build quality
The product is neither impressive nor disappointing,neutral,51,7,the product is neither impressive nor disappointing,0.0,product neither impressive disappointing
I faced many issues while using it,negative,34,7,i faced many issues while using it,-1.0,faced many issues using
I have mixed feelings about this product,neutral,40,7,i have mixed feelings about this product,0.0,mixed feelings product
The design feels cheap and poorly made,negative,38,7,the design feels cheap and poorly made,-1.0,design feels cheap poorly made
"Nice iron, good value for the price.",positive,36,7,"nice iron, good value for the price.",1.0,nice iron good value price
I am very pleased with the results,positive,34,7,i am very pleased with the results,1.0,pleased results
Works flawlessly even under heavy use,positive,37,6,works flawlessly even under heavy use,1.0,works flawlessly even heavy use
It is okay but nothing special,neutral,30,6,it is okay but nothing special,0.0,okay nothing special
The experience was frustrating and annoying,negative,43,6,the experience was frustrating and annoying,-1.0,experience frustrating annoying
Not worth the money at all,negative,26,6,not worth the money at all,-1.0,worth money
The features are impressive and useful,positive,38,6,the features are impressive and useful,1.0,features impressive useful
Very happy with the overall experience,positive,38,6,very happy with the overall experience,1.0,happy overall experience
Customer support was helpful and responsive,positive,43,6,customer support was helpful and responsive,1.0,customer support helpful responsive
Everything worked perfectly without any issues,positive,46,6,everything worked perfectly without any issues,1.0,everything worked perfectly without issues
The app runs fast and efficiently,positive,33,6,the app runs fast and efficiently,1.0,app runs fast efficiently
The product feels premium and durable,positive,37,6,the product feels premium and durable,1.0,product feels premium durable
The performance is slow and unreliable,negative,38,6,the performance is slow and unreliable,-1.0,performance slow unreliable
I am unhappy with this purchase,negative,31,6,i am unhappy with this purchase,-1.0,unhappy purchase
Highly recommended for beginners and professionals,positive,50,6,highly recommended for beginners and professionals,1.0,highly recommended beginners professionals
I would definitely buy this again,positive,33,6,i would definitely buy this again,1.0,would definitely buy
Customer service was rude and unhelpful,negative,39,6,customer service was rude and unhelpful,-1.0,customer service rude unhelpful
The service was average and acceptable,neutral,38,6,the service was average and acceptable,0.0,service average acceptable
I really enjoyed using this application,positive,39,6,i really enjoyed using this application,1.0,really enjoyed using application
It works most of the time,neutral,25,6,it works most of the time,0.0,works time
The instructions were unclear and confusing,negative,43,6,the instructions were unclear and confusing,-1.0,instructions unclear confusing
The product broke within a week,negative,31,6,the product broke within a week,-1.0,product broke within week
It does not work as advertised,negative,30,6,it does not work as advertised,-1.0,work advertised
It functions normally without problems,neutral,38,5,it functions normally without problems,0.0,functions normally without problems
The setup process was straightforward,neutral,37,5,the setup process was straightforward,0.0,setup process straightforward
Too many bugs and errors,negative,24,5,too many bugs and errors,-1.0,many bugs errors
I regret buying this product,negative,28,5,i regret buying this product,-1.0,regret buying product
Smooth performance and great usability,positive,38,5,smooth performance and great usability,1.0,smooth performance great usability
The response time was reasonable,neutral,32,5,the response time was reasonable,0.0,response time reasonable
The product works as described,neutral,30,5,the product works as described,0.0,product works described
it doesn't get hot enough,negative,25,5,it doesn't get hot enough,-1.0,get hot enough
Nice only but not good,neutral,22,5,nice only but not good,0.0,nice good
The service exceeded my expectations,positive,36,5,the service exceeded my expectations,1.0,service exceeded expectations
The product arrived on time,neutral,27,5,the product arrived on time,0.0,product arrived time
Great user experience and design,positive,32,5,great user experience and design,1.0,great user experience design
The application crashes frequently,negative,34,4,the application crashes frequently,-1.0,application crashes frequently
Overall a fantastic experience,positive,30,4,overall a fantastic experience,1.0,overall fantastic experience
The experience was standard,neutral,27,4,the experience was standard,0.0,experience standard
Nothing particularly stands out,neutral,31,4,nothing particularly stands out,0.0,nothing particularly stands
The performance is acceptable,neutral,29,4,the performance is acceptable,0.0,performance acceptable
effective at quickly processing,positive,31,4,effective at quickly processing,1.0,effective quickly processing
Worth every penny spent,positive,23,4,worth every penny spent,1.0,worth every penny spent
Customer support never responded,negative,32,4,customer support never responded,-1.0,customer support never responded
Excellent attention to detail,positive,29,4,excellent attention to detail,1.0,excellent attention detail
Worst product ever bought,negative,25,4,worst product ever bought,-1.0,worst product ever bought
Not worth the price,negative,19,4,not worth the price,-1.0,worth price
I am impressed ,positive,15,3,i am impressed ,1.0,impressed
DO NOT BUY.,negative,11,3,do not buy.,-1.0,buy
Premium quality,positive,15,2,premium quality,1.0,premium quality
,,0,0,,,nan
,,0,0,,,nan
,positive,0,0,,1.0,nan
,,0,0,,,nan
,,0,0,,,nan
,,0,0,,,nan
,neutral,0,0,,0.0,nan
